pathway	external_id	source	ensembl_ids
RNA Polymerase II Transcription	R-SCE-73857	Reactome	YPR187W,YNL097C,YMR125W,YMR236W,YCR042C,YER148W,YPR133C,YDR079C-A,YOR061W,YBR196C,YOL005C,YOR213C,YKR062W,YPR025C,YJL006C,YMR227C,YOL100W,YER171W,YGL112C,YKL203C,YPL178W,YER139C,YOL145C,YJL128C,YPL046C,YIL035C,YLR168C,YGL207W,YLR418C,YMR005W,YGR005C,YML069W,YOR123C,YPL129W,YPR086W,YHR090C,YOR151C,YML028W,YKL005C,YJL031C,YGR116W,YDR404C,YKL053C-A,YER093C,YNL230C,YHR205W,YPL091W,YDR460W,YKL058W,YOR064C,YOR039W,YOR210W,YML098W,YDR208W,YJL058C,YLR193C,YNL107W,YDL108W,YGL043W,YHR143W-A,YBR198C,YPR161C,YML010W,YBR279W,YGR186W,YOR194C,YPL122C,YBR236C,YDR145W,YKL126W,YNL241C,YLR005W,YGL070C,YPR176C,YML015C,YGL244W,YDR289C,YMR036C,YJL140W,YPR031W,YIL021W,YKL028W,YMR277W,YDR453C,YMR001C,YBR270C,YGL213C,YGL130W,YIL143C,YDR167W,YPR056W,YJR017C,YGR063C,YBL052C,YNL027W,YNL006W,YDL140C,YGR274C,YJR082C,YDR311W,YJR066W,YOL078W,YOR370C,YOR224C,YBR154C
ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	PWY3O-19	YeastCyc	YOR125C,YGR255C,YOL096C,YML110C,YNR041C
Golgi-to-ER retrograde transport	R-SCE-8856688	Reactome	YGR284C,YLR268W,YMR006C,YMR008C,YDL192W,YGL002W,YIL076W,YNL287W,YBR080C,YBL040C,YOR075W,YHR110W,YDL226C,YDL145C,YPL010W,YOL011W,YAL007C,YDL137W,YGL137W,YGL098W,YAR002C-A,YFL038C,YML012W,YFR051C,YOR016C,YNL012W,YEL022W,YER122C,YDR498C,YNL204C,YDR238C,YDL018C,YGL200C,YBL050W
Recycling of eIF2:GDP	R-SCE-72731	Reactome	YER025W,YJR007W,YKR026C,YGR083C,YPL237W,YLR291C,YOR260W,YDR211W
Cap-dependent Translation Initiation	R-SCE-72737	Reactome	YKR026C,YGL123W,YDR025W,YPR041W,YKR057W,YER131W,YPL249C-A,YLR388W,YJL138C,YPL220W,YPR102C,YJL191W,YLR340W,YPL090C,YNL302C,YPR163C,YBL027W,YER025W,YHL033C,YDL081C,YKL180W,YER165W,YDR471W,YIL148W,YMR242C,YBR084C-A,YMR260C,YJL136C,YOR096W,YNL178W,YDR450W,YOR293W,YBL087C,YOL127W,YIL018W,YDL075W,YDL061C,YMR142C,YGL031C,YER102W,YLR325C,YDR382W,YKL156W,YDR447C,YLR185W,YGR118W,YGL049C,YKR059W,YGR214W,YGL135W,YOL120C,YOR312C,YMR143W,YDL191W,YDR064W,YGR034W,YHL001W,YHL015W,YJR123W,YOR260W,YJL190C,YIL069C,YFR031C-A,YLR075W,YOL121C,YGL076C,YGR162W,YLL039C,YDL136W,YBR191W,YNL301C,YCR031C,YDR418W,YLR029C,YGR083C,YOL040C,YKR094C,YIL133C,YLR367W,YLR344W,YJL189W,YNL067W,YHR010W,YML073C,YLR333C,YDR429C,YGL030W,YOR361C,YER074W,YMR230W,YOR063W,YHR141C,YFL034C-A,YOR369C,YHR203C,YLR264W,YMR121C,YPL143W,YLR061W,YDR012W,YHR021C,YPL131W,YPL237W,YMR146C,YOL139C,YBR189W,YGR085C,YER117W,YBR048W,YNL162W,YLR406C,YJR145C,YML026C,YGR027C,YGL189C,YFR032C-A,YDR211W,YMR309C,YEL054C,YJR007W,YGL103W,YBL092W,YML063W,YAL035W,YDL083C,YBR079C,YPR132W,YBL072C,YDR500C,YLR192C,YBR031W,YLR448W,YNL175C,YLL045C,YBR181C,YOR167C,YLR291C,YLR167W
Intrinsic Pathway for Apoptosis	R-SCE-109606	Reactome	YJR048W,YEL039C
Acyl chain remodelling of PS	R-SCE-1482801	Reactome	YOR175C,YNL012W,YMR006C,YOL011W,YHR001W,YMR008C,YKR003W,YPL145C,YOR237W,YPR139C
fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	PWY-6837	YeastCyc	YLR284C,YNL202W,YGL205W,YOR180C
UMP biosynthesis II	PWY-7790	YeastCyc	YOR303W,YJL130C,YMR271C,YJR109C,YEL021W,YLR420W,YKL216W,YML106W
superpathway of leucine, valine, and isoleucine biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY	YeastCyc	YMR108W,YLR355C,YGL009C,YHR208W,YCL009C,YNL104C,YOR108W,YJR148W,YJR016C
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane	R-SCE-83936	Reactome	YBL030C,YBR085W,YAL022C,YMR056C
Glycine degradation	R-SCE-6783984	Reactome	YMR189W,YAL044C,YDR019C,YFL018C
Glyoxylate metabolism and glycine degradation	R-SCE-389661	Reactome	YFL018C,YKL192C,YLR239C,YKL106W,YIL125W,YJL046W,YNL071W,YER178W,YLR142W,YAL044C,YMR189W,YBR221C,YML054C,YDR148C,YOR196C,YDR019C
methylglyoxal catabolism	PWY-5386-1	YeastCyc	YDL174C,YDR272W,YDL178W,YEL071W,YOR040W,YML004C
Purine ribonucleoside monophosphate biosynthesis	R-SCE-73817	Reactome	YML056C,YLR432W,YGL234W,YHR216W,YLR359W,YMR217W,YGR061C,YNL220W,YMR120C
pyruvate fermentation to acetate VIII	PWY-5768	YeastCyc	YPL061W,YLR044C,YGR087C,YLR134W
Regulation of TLR by endogenous ligand	R-SCE-5686938	Reactome	YKL032C,YDL002C,YPR052C,YMR072W,YDR174W
Transport of nucleotide sugars	R-SCE-727802	Reactome	YEL004W
superpathway phosphatidate biosynthesis (yeast)	PWY-7411	YeastCyc	YKR067W,YBL011W,YDL052C,YOR175C,YDL022W,YIL124W,YOR081C,YKR089C,YOL059W,YPR139C
aspartate biosynthesis	ASPBIO-PWY	YeastCyc	YGL062W,YKL106W,YLR027C,YBR218C
Fructose biosynthesis	R-SCE-5652227	Reactome	YJR159W,YLR070C,YDL246C
tRNA splicing	PWY-6689	YeastCyc	YGR247W,YAR008W,YLR105C,YLR430W,YBR022W,YMR059W,YOL102C,YPL083C
Synthesis of PI	R-SCE-1483226	Reactome	YPR113W,YBR029C,YOR022C
RNA Polymerase I Transcription Initiation	R-SCE-73762	Reactome	YHR143W-A,YOR341W,YPR187W,YKL125W,YNL248C,YOR210W,YOR340C,YPR110C,YJR063W,YBR154C,YOR224C,YPR010C
Transport of fatty acids	R-SCE-804914	Reactome	YBR041W
Intra-Golgi traffic	R-SCE-6811438	Reactome	YLR026C,YKL196C,YIL004C,YPR095C,YDL192W,YBR080C,YDL137W,YBL050W,YKL006C-A,YHL031C
4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis	PWY-7282	YeastCyc	YMR300C,YPL258C,YJR156C,YOL055C,YEL029C,YLR456W,YBR035C,YFL058W,YDL244W,YPR127W,YPR172W,YNL332W
glutathione-glutaredoxin redox reactions	GLUT-REDOX-PWY	YeastCyc	YDR513W,YER174C,YDR098C,YPL059W,YCL035C
Pyrimidine biosynthesis	R-SCE-500753	Reactome	YJL130C
Nucleobase biosynthesis	R-SCE-8956320	Reactome	YML056C,YLR432W,YGL234W,YHR216W,YJL130C,YLR359W,YMR217W,YGR061C,YNL220W,YMR120C
base-degraded thiamin salvage	PWY-6899	YeastCyc	YOL055C
ethylene biosynthesis	PWY-6854	YeastCyc	YKL220C,YJR104C,YOR384W,YHR008C,YOL152W,YLR214W,YOR381W,YNR060W
Hypusine synthesis from eIF5A-lysine	R-SCE-204626	Reactome	YEL034W,YJR070C,YJR047C,YHR068W
Transport of vitamins, nucleosides, and related molecules	R-SCE-425397	Reactome	YOR306C,YBR220C,YBR085W,YAL022C,YMR056C,YEL004W,YKL221W,YNL125C,YBL030C,YOL119C,YBR041W
methylglyoxal degradation V	PWY-5458	YeastCyc	YOL151W,YML054C
Synthesis of active ubiquitin: roles of E1 and E2 enzymes	R-SCE-8866652	Reactome	YDR054C,YKL210W,YOR339C,YKR094C,YDR059C,YJR099W,YMR022W,YGL058W,YBR082C,YOR124C,YEL012W,YIL148W,YLL039C,YDR177W,YLR167W,YMR304W
Depyrimidination	R-SCE-73928	Reactome	YML060W,YOL043C,YML021C
Base-Excision Repair, AP Site Formation	R-SCE-73929	Reactome	YML060W,YOL043C,YML021C
Base Excision Repair	R-SCE-73884	Reactome	YML060W,YOL043C,YML021C
homoserine biosynthesis	HOMOSERSYN-PWY	YeastCyc	YDR158W,YER052C,YJR139C
acetoin biosynthesis III	PWY3O-440	YeastCyc	YGR087C,YLR044C,YLR134W
Acyl chain remodelling of PI	R-SCE-1482922	Reactome	YNL012W,YMR008C,YOL011W,YMR006C,YOR175C
Glycolysis	R-SCE-70171	Reactome	YAL038W,YMR323W,YMR278W,YOR393W,YCL040W,YMR205C,YPL281C,YCR012W,YGR254W,YJL155C,YBR196C,YGR240C,YJR009C,YHR174W,YOL136C,YLR446W,YOR347C,YGR192C,YFR053C,YDR050C,YDR516C,YLR345W,YJL052W,YGL253W
Urea cycle	R-SCE-70635	Reactome	YOR130C,YBR104W,YHR018C,YJL088W,YPR058W,YPL111W,YER069W
Synthesis of PG	R-SCE-1483148	Reactome	YBR029C
glyoxylate cycle	GLYOXYLATE-BYPASS	YeastCyc	YJL200C,YKL085W,YNL117W,YER065C,YLR304C,YPR001W,YDL078C,YCR005C,YIR031C,YOL126C,YNR001C
inositol phosphate biosynthesis	PWY3O-402	YeastCyc	YDR315C,YPL268W,YLR410W,YDR017C,YDR173C
Cristae formation	R-SCE-8949613	Reactome	YPR020W,Q0130,YDR298C,Q0085,YKL016C,YDL004W,YBL099W,YJR121W,YJR090C,YPL271W,YBR039W,YPL078C
proline biosynthesis	PROSYN-PWY	YeastCyc	YOR323C,YDR300C,YER023W
superpathway of tetrahydrofolate biosynthesis and salvage	FOLSYN-PWY	YeastCyc	YMR289W,YGR267C,YBR084W,YDR408C,YNR033W,YOR236W,YMR113W,YNL256W
Receptor Mediated Mitophagy	R-SCE-8934903	Reactome	YOR061W,YBL078C,YOR039W,YBR217W,YPL149W,YGL180W,YAL008W,YIL035C
Mitophagy	R-SCE-5205647	Reactome	YOR061W,YBL078C,YOR039W,YBR217W,YPL149W,YGL180W,YAL008W,YIL035C
Mitochondrial biogenesis	R-SCE-1592230	Reactome	YPR020W,Q0130,YDR298C,Q0085,YKL016C,YDL004W,YBL099W,YJR121W,YJR090C,YPL271W,YBR039W,YPL078C
Sodium/Calcium exchangers	R-SCE-425561	Reactome	YJR106W
Organelle biogenesis and maintenance	R-SCE-1852241	Reactome	YPR020W,Q0130,YGL210W,YDR298C,Q0085,YJR090C,YDL004W,YBL099W,YJR121W,YNL272C,YKL016C,YPL271W,YBR039W,YPL078C
Carnitine synthesis	R-SCE-71262	Reactome	YHL021C,YBR263W
ubiquinol-6 biosynthesis from 4-aminobenzoate	PWY-7230	YeastCyc	YOR125C,YOL096C,YML110C,YGR255C,YNR041C,YDR376W
sorbitol degradation	PWY-4101	YeastCyc	YJR159W,YFR053C,YGL253W,YDL246C
Creatine metabolism	R-SCE-71288	Reactome	YDR465C
Sodium/Proton exchangers	R-SCE-425986	Reactome	YDR456W
oleate &beta;-oxidation (isomerase-dependent)	PWY-7291	YeastCyc	YGL205W,YLR284C
triacylglycerol biosynthesis	TRIGLSYN-PWY	YeastCyc	YKR067W,YDR503C,YDL052C,YBL011W,YOR311C,YMR165C,YNR008W,YOR245C,YPR140W,YDR284C
RNA Polymerase I Promoter Escape	R-SCE-73772	Reactome	YPR187W,YOR210W,YOR340C,YER148W,YKL125W,YDR079C-A,YDL108W,YPR110C,YJR063W,YPR025C,YHR143W-A,YOR341W,YIL143C,YPL122C,YPR056W,YJL025W,YER171W,YNL248C,YLR005W,YDR311W,YDR460W,YOR224C,YBR154C,YPR010C
RNA Polymerase I Promoter Clearance	R-SCE-73854	Reactome	YPR187W,YOR210W,YOR340C,YER148W,YKL125W,YDR079C-A,YDL108W,YPR110C,YJR063W,YPR025C,YHR143W-A,YOR341W,YIL143C,YPL122C,YPR056W,YJL025W,YER171W,YNL248C,YLR005W,YDR311W,YDR460W,YOR224C,YBR154C,YPR010C
RNA Polymerase I Transcription	R-SCE-73864	Reactome	YPR187W,YOR210W,YOR340C,YER148W,YKL125W,YDR079C-A,YDL108W,YPR110C,YJR063W,YPR025C,YHR143W-A,YOR341W,YIL143C,YPL122C,YPR056W,YJL025W,YER171W,YNL248C,YLR005W,YDR311W,YDR460W,YOR224C,YBR154C,YPR010C
Selective autophagy	R-SCE-9663891	Reactome	YGL087C,YOR061W,YBL078C,YKR094C,YDR092W,YIL148W,YOR039W,YBR217W,YGL180W,YPL149W,YKR017C,YLL039C,YLR167W,YAL008W,YIL035C
Macroautophagy	R-SCE-1632852	Reactome	YGL087C,YBR217W,YDR477W,YAL008W,YHR171W,YHR146W,YPL149W,YKR094C,YIL035C,YPR185W,YGL180W,YOR061W,YNR007C,YJR110W,YGL115W,YFR021W,YLR240W,YDR422C,YOR039W,YNL223W,YDR122W,YBL078C,YGL208W,YLR096W,YBR097W,YER027C,YNL173C,YGR223C,YKR017C,YDR092W,YIL148W,YPR049C,YPL100W,YLL039C,YLR167W,YPL120W
Autophagy	R-SCE-9612973	Reactome	YGL087C,YBR217W,YDR477W,YAL008W,YHR171W,YHR146W,YPL149W,YKR094C,YIL035C,YPR185W,YGL180W,YOR061W,YNR007C,YJR110W,YGL115W,YFR021W,YLR240W,YDR422C,YOR039W,YNL223W,YDR122W,YBL078C,YGL208W,YLR096W,YBR097W,YER027C,YNL173C,YGR223C,YKR017C,YDR092W,YIL148W,YPR049C,YPL100W,YLL039C,YLR167W,YPL120W
glutathione-mediated detoxification II	PWY-6842-1	YeastCyc	YLL048C,YLL060C,YIR038C,YEL017W,YFR055W,YBR139W,YLR299W,YGL184C,YNL229C,YDR135C,YKR076W,YGR154C,YMR297W
trehalose biosynthesis	TRESYN-PWY	YeastCyc	YML100W,YBR126C,YDR074W,YMR261C
Inhibition of replication initiation of damaged DNA by RB1/E2F1	R-SCE-113501	Reactome	YIR008C,YBL035C,YNL102W,YKL045W
Acyl chain remodelling of PG	R-SCE-1482925	Reactome	YOR298W,YBR042C,YNL012W,YOL011W,YMR006C,YDR018C,YMR008C,YDL142C,YPR139C
Multifunctional anion exchangers	R-SCE-427601	Reactome	YPR003C,YBR294W
Agmatine biosynthesis	R-SCE-351143	Reactome	YKL184W
superpathway of glutathione metabolism (truncated &gamma;-glutamyl cycle)	PWY3O-114	YeastCyc	YFR044C,YJL101C,YOL049W
serine biosynthesis from 3-phosphoglycerate	SERSYN-PWY	YeastCyc	YGR208W,YER081W,YOR184W,YIL074C
Synthesis of CL	R-SCE-1483076	Reactome	YDL142C
D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	PWY-6351	YeastCyc	YJL100W,YPL268W,YDR208W,YNL267W,YPR113W,YLR305C
nicotinamide riboside salvage pathway I	PWY3O-4106	YeastCyc	YLR328W,YNL129W,YGR010W
thioredoxin system	THIOREDOX-PWY	YeastCyc	YLR043C,YCR083W,YDR353W,YHR106W,YGR209C
CDP-diacylglycerol biosynthesis	PWY-5667	YeastCyc	YBL011W,YBR029C,YDL052C,YKR067W
E3 ubiquitin ligases ubiquitinate target proteins	R-SCE-8866654	Reactome	YGL087C,YLR032W,YLR167W,YKR094C,YDR092W,YDR059C,YGL058W,YBR082C,YDR244W,YMR026C,YCR066W,YIL148W,YLL039C,YLR191W,YGL153W,YDR265W,YBR088C
Protein ubiquitination	R-SCE-8852135	Reactome	YGL087C,YOR124C,YBR082C,YEL012W,YCR066W,YKR094C,YLR032W,YDR059C,YKL210W,YDR244W,YLR191W,YDR265W,YMR304W,YDR054C,YLR167W,YOR339C,YDR092W,YIL148W,YJR099W,YMR022W,YGL058W,YMR026C,YLL039C,YDR177W,YGL153W,YBR088C
superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	THISYNARA-PWY-1	YeastCyc	YJR156C,YBR092C,YFL058W,YOL061W,YPR172W,YMR300C,YDL024C,YNL332W,YOR143C,YOL055C,YLR456W,YPL214C,YBR093C,YBL068W,YAR071W,YHL011C,YPL258C,YHR215W,YGR144W,YEL029C,YBR035C,YDL244W,YER099C,YPR127W,YKL181W
Transport of organic anions	R-SCE-879518	Reactome	YOR306C,YKL221W,YNL125C,YOL119C
Interconversion of polyamines	R-SCE-351200	Reactome	YEL066W,YPR193C
Metabolism of polyamines	R-SCE-351202	Reactome	YEL066W,YOL052C,YPR193C,YKL184W,YPR069C
palmitoleate biosynthesis	PWY3O-1801	YeastCyc	YGL055W
superpathway of phenylalanine, tyrosine and tryptophan biosynthesis	COMPLETE-ARO-YEAST-PWY	YeastCyc	YDR354W,YDR007W,YBR249C,YDR035W,YBR166C,YGL148W,YPR060C,YGL202W,YER090W,YHR137W,YDR127W,YGL026C,YKL211C
fructose degradation	PWY3O-0	YeastCyc	YFR053C,YGL253W
superpathway of purine nucleosides salvage	PWY3O-1	YeastCyc	YDR399W,YLR209C,YDL238C,YML022W,YDR441C,YML035C,YJR133W,YJR105W,YNL141W
spermidine and methylthioadenosine biosynthesis	BSUBPOLYAMSYN-PWY	YeastCyc	YOL052C,YPR069C
Serotonin and melatonin biosynthesis	R-SCE-209931	Reactome	YDR071C
Metabolism of amine-derived hormones	R-SCE-209776	Reactome	YDR071C
Metabolism of amino acids and derivatives	R-SCE-71291	Reactome	YAL012W,YCL064C,YPR193C,YJR078W,YOR251C,YKL106W,YJR025C,YHR208W,YBR104W,YJL046W,YPR069C,YJL088W,YER043C,YDR465C,YOL052C,YDR111C,YLR017W,YHL018W,YJR148W,YPL176C,YDR148C,YDR036C,YEL066W,YGR155W,YKL192C,YEL038W,YPR035W,YPR021C,YDR071C,YLR231C,YLR089C,YLR438W,YKL184W,YER178W,YFL018C,YPR058W,YPR118W,YMR189W,YPR145W,YLR348C,YPL111W,YLR142W,YNL071W,YLR239C,YER023W,YER069W,YGL159W,YOR256C,YOR184W,YBL098W,YHL021C,YGR208W,YNR050C,YAL044C,YDR502C,YMR009W,YNL092W,YBR221C,YOR196C,YDR105C,YIL125W,YML054C,YLR027C,YJL060W,YKL218C,YBR263W,YHR018C,YGR124W,YLR180W,YDR019C,YOR130C,YJR126C,YOR323C
Extension of Telomeres	R-SCE-180786	Reactome	YLR175W,YIL104C
Telomere Maintenance	R-SCE-157579	Reactome	YLR175W,YIL104C
Chromosome Maintenance	R-SCE-73886	Reactome	YLR175W,YIL104C
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	R-SCE-9609523	Reactome	YER120W,YPL232W,YDR086C,YMR110C,YLR026C,YBR162W-A,YER100W,YMR183C,YOR007C,YNL111C,YER019C-A
The NLRP3 inflammasome	R-SCE-844456	Reactome	YOR057W,YPL240C
Organic anion transporters	R-SCE-428643	Reactome	YPR021C,YLR348C
Translesion synthesis by REV1	R-SCE-110312	Reactome	YOR346W,YLR167W,YBR087W,YNL290W,YIL148W,YOL094C,YIL139C,YNL312W,YOR217W,YPL167C,YAR007C,YLL039C,YKR094C,YBR088C,YJR068W
tRNA methylation	PWY-6829	YeastCyc	YOL124C,YBL024W,YNL062C,YOL125W,YNR046W,YJL125C,YDR120C,YHR070W,YPL030W,YBR061C,YML014W
glutathione degradation	PWYQT-4432	YeastCyc	YFR044C
UDP-N-acetylglucosamine biosynthesis	UDPNAGSYN-YEAST-PWY	YeastCyc	YFL017C,YDL103C,YEL058W,YKL104C
glycine biosynthesis II	GLYCINE-SYN2-PWY	YeastCyc	YMR189W,YDR019C,YFL018C
tRNA-uridine 2-thiolation (yeast mitochondria)	PWY-7891	YeastCyc	YDL033C,YMR023C,YCL017C,YOR251C,YGL236C
Gluconeogenesis	R-SCE-70263	Reactome	YKL106W,YHR174W,YLR027C,YMR323W,YGR254W,YJL052W,YPR021C,YLR377C,YJR009C,YOR393W,YGL062W,YGR192C,YBR291C,YDR050C,YPL281C,YCR012W,YLR348C,YKL085W,YBR196C
Glucose metabolism	R-SCE-70326	Reactome	YAL038W,YMR323W,YMR278W,YKL106W,YOR393W,YCL040W,YMR205C,YPL281C,YCR012W,YGR254W,YJL155C,YPR021C,YLR377C,YBR196C,YGR240C,YJR009C,YLR348C,YHR174W,YOL136C,YLR446W,YOR347C,YGR192C,YFR053C,YDR050C,YBR291C,YDR516C,YLR027C,YLR345W,YJL052W,YGL253W,YGL062W,YKL085W
Acyl chain remodeling of CL	R-SCE-1482798	Reactome	YOR298W,YBR042C,YNL012W,YMR006C,YOL011W,YDR018C,YMR008C,YPR140W
Glycerophospholipid biosynthesis	R-SCE-1483206	Reactome	YBR177C,YOR175C,YMR006C,YHR001W,YMR165C,YMR008C,YOR237W,YML042W,YJR073C,YOR298W,YNL012W,YDL052C,YOL011W,YNL130C,YGR110W,YDL022W,YDR018C,YKR003W,YKR031C,YHR123W,YPR139C,YGR007W,YBR042C,YDR147W,YOR022C,YOR245C,YOL059W,YIL155C,YDL142C,YLR133W,YMR210W,YBR029C,YJR098C,YGR202C,YPL145C,YPL095C,YPR113W,YPR140W
G alpha (s) signalling events	R-SCE-418555	Reactome	YOR360C
phosphatidylcholine resynthesis via glycerophosphocholine	PWY-7367	YeastCyc	YPL110C,YML059C,YNL130C,YHR123W
Proton/oligopeptide cotransporters	R-SCE-427975	Reactome	YKR093W
Transport of inorganic cations/anions and amino acids/oligopeptides	R-SCE-425393	Reactome	YOR306C,YHL036W,YBR294W,YIL172C,YJL216C,YOL119C,YNL003C,YPR021C,YJR106W,YNL125C,YLR348C,YCR075C,YKR093W,YGR287C,YOL157C,YGR055W,YJR001W,YPR003C,YDR456W,YGR292W,YBR299W,YJL221C,YKL221W
Cholesterol biosynthesis via desmosterol	R-SCE-6807047	Reactome	YLR056W
phosphatidylglycerol degradation	PWY-7366	YeastCyc	YPL206C
methionine salvage pathway	PWY3O-64	YeastCyc	YPR118W,YJR024C,YMR009W,YEL038W,YLR017W
salvage pathways of adenine, hypoxanthine and their nucleosides	PWY3O-2220	YeastCyc	YDR399W,YLR209C,YML022W,YDR441C,YML035C,YJR133W,YJR105W,YNL141W
&gamma;-glutamyl cycle	PWY-4041	YeastCyc	YKL215C,YFR044C,YJL101C,YOL049W
geranyl diphosphate biosynthesis	PWY-5122	YeastCyc	YJL167W
(<i>R,R</i>)-butanediol biosynthesis	PWY-5951	YeastCyc	YAL060W
RAB geranylgeranylation	R-SCE-8873719	Reactome	YML001W,YFL005W,YPR176C,YHR022C,YGL210W,YFL038C,YKR014C,YJL031C,YLR262C,YOR370C,YER031C,YNL304W,YBR264C
superoxide radicals degradation	DETOX1-PWY	YeastCyc	YGR088W,YJR104C,YDR256C,YHR008C
RNA Polymerase III Transcription Initiation From Type 1 Promoter	R-SCE-76061	Reactome	YPR187W,YAL001C,YJL011C,YOR210W,YER148W,YDR045C,YGR246C,YNR003C,YPR110C,YDR362C,YBR154C,YHR143W-A,YNL039W,YNL151C,YOR207C,YPR190C,YBR123C,YGL254W,YGR047C,YDL150W,YOR116C,YOR224C,YKL144C
Assembly of the ORC complex at the origin of replication	R-SCE-68616	Reactome	YPR162C,YBR060C,YNL261W,YLL004W,YML065W
Assembly of the pre-replicative complex	R-SCE-68867	Reactome	YPR162C,YBR060C,YNL261W,YLL004W,YML065W
threonine degradation	PWY-5436	YeastCyc	YEL046C
UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	UDPNACETYLGALSYN-PWY	YeastCyc	YFL017C,YDL103C,YEL058W,YKL104C
leucine degradation	PWY3O-4112	YeastCyc	YBR145W,YHR208W,YOL086C,YMR083W,YGL256W,YDL168W,YJR148W,YMR303C,YDL080C
phospholipid biosynthesis (Kennedy pathway)	PWY3O-450	YeastCyc	YGR202C,YNL130C,YLR133W,YHR123W
Synthesis of PIPs at the ER membrane	R-SCE-1483248	Reactome	YKL212W,YJL100W,YLR305C,YJR110W
trans-Golgi Network Vesicle Budding	R-SCE-199992	Reactome	YPL259C,YPL232W,YGR009C,YLR170C,YMR017W,YLR093C,YMR183C,YDL192W,YGL206C,YPR029C,YKL135C,YDL137W,YEL022W,YGR167W
adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I	PWY-7227	YeastCyc	YLR043C,YKL067W,YGR209C,YER070W,YJL026W,YGR180C,YCR083W
dolichol and dolichyl phosphate biosynthesis	PWY-6129	YeastCyc	YMR013C,YDL193W,YMR101C,YIL049W,YBR002C
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	R-SCE-5358606	Reactome	YDL164C,YOL090W,YCR092C
glycine biosynthesis from threonine	GLYSYN-THR-PWY	YeastCyc	YEL046C
Degradation of cysteine and homocysteine	R-SCE-1614558	Reactome	YAL012W,YLR348C,YOR251C
Sulfide oxidation to sulfate	R-SCE-1614517	Reactome	YLR348C
UDP-D-galactose biosynthesis	PWY-7344	YeastCyc	YBR019C
Protein methylation	R-SCE-8876725	Reactome	YDL126C,YPR080W,YGR001C,YLR137W,YBR118W,YIL064W,YLL024C,YNL024C
RNA Polymerase II Transcription Elongation	R-SCE-75955	Reactome	YPR187W,YBR279W,YGL244W,YOR210W,YMR125W,YDL108W,YIL021W,YJL140W,YPR133C,YPL046C,YDR079C-A,YMR277W,YNL107W,YLR418C,YGR005C,YML069W,YGL043W,YGL213C,YOR123C,YOL005C,YOR213C,YPR025C,YDR460W,YHR143W-A,YOR151C,YOL145C,YPR161C,YML010W,YIL143C,YJL006C,YGR186W,YPL122C,YPR056W,YGR116W,YDR404C,YGR063C,YER171W,YPL129W,YNL230C,YDL140C,YLR005W,YGL207W,YDR311W,YGL070C,YPL178W,YKL005C,YOR224C,YBR154C
thiamin formation from pyrithiamine and oxythiamine	PWY-7357	YeastCyc	YOL055C,YPL214C,YPL258C
D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis	PWY-6364	YeastCyc	YOL065C,YDR173C,YNL106C,YOR109W
triacylglycerol degradation	LIPAS-PWY	YeastCyc	YKL094W,YKL140W,YMR313C,YOR081C,YDR058C,YKR089C,YCR068W,YMR210W
inositol pyrophosphates biosynthesis	PWY-6369	YeastCyc	YDR315C,YDR017C
butanediol biosynthesis	PWY3O-661	YeastCyc	YAL060W
glycerol-3-phosphate shuttle	PWY-6118-YEAST	YeastCyc	YDL022W,YOL059W,YIL155C
Phenylalanine metabolism	R-SCE-8964208	Reactome	YJL060W,YHL018W
glycolysis III (from glucose)	ANAGLYCOLYSIS-PWY	YeastCyc	YAL038W,YGL253W,YKL060C,YOR393W,YCL040W,YMR205C,YPL281C,YCR012W,YGR254W,YMR323W,YBR196C,YGR240C,YJR009C,YKL152C,YHR174W,YLR446W,YOR347C,YGR192C,YFR053C,YDR050C,YDR516C,YJL052W
Peroxisomal lipid metabolism	R-SCE-390918	Reactome	YEL020C,YNL202W,YMR110C,YIL160C,YJR019C,YGR037C,YGL205W,YML042W,YJR154W,YKR009C,YBR041W,YML054C,YPL147W
Cellular hexose transport	R-SCE-189200	Reactome	YBR241C,YGL104C
RNA Polymerase III Transcription Initiation From Type 2 Promoter	R-SCE-76066	Reactome	YPR187W,YAL001C,YJL011C,YOR210W,YER148W,YDR045C,YGR246C,YNR003C,YPR110C,YDR362C,YBR154C,YHR143W-A,YNL039W,YNL151C,YOR207C,YPR190C,YBR123C,YGR047C,YDL150W,YOR116C,YOR224C,YKL144C
RNA Polymerase III Transcription Initiation	R-SCE-76046	Reactome	YPR187W,YAL001C,YJL011C,YOR210W,YER148W,YDR045C,YGR246C,YNR003C,YPR110C,YDR362C,YBR154C,YHR143W-A,YNL039W,YNL151C,YOR207C,YPR190C,YBR123C,YGL254W,YGR047C,YDL150W,YOR116C,YOR224C,YKL144C
